Name,Category,Blockchains,Storage Networks,Authentication,Website,Open Source Client?,Registration Open?,Tracking Blocked or Consented?,Twitter Mentions
Aragon,Business & Governance,Ethereum,,,https://aragon.one/,https://github.com/aragon/aragon,YES,,159
Bellwethr,Business & Governance,-,Gaia,Blockstack,,,,,
Misthos,Business & Governance,-,Gaia,Blockstack,,,,,
Gitcoin,Developer Tools,Ethereum,-,-,,,,,
Everipedia,Education & News,EOS,IPFS,-,https://everipedia.org/,,NO,,280
AdChain,Financial Services,Ethereum,,,,,,,
Augur,Financial Services,Ethereum,,,http://www.augur.net/,,,,0
Bancor,Financial Services,Ethereum,,,,,,,
Bloom,Financial Services,Ethereum,,,https://bloom.co/,,,,22
Bounty0x,Financial Services,Ethereum,,,https://bounty0x.io/,,,,597
Coinfort,Financial Services,-,Gaia,Blockstack,http://www.coinfort.io/,https://github.com/twg/coinfort-web,,,0
Coins,Financial Services,-,Gaia,Blockstack,https://coinsapp.co/,,,,0
Coinstack,Financial Services,-,Gaia,Blockstack,http://www.coinstack.one/,,,,0
Dharma,Financial Services,Ethereum,,,,,,,
Dharma,Financial Services,Ethereum,,,,,,,
DyDx,Financial Services,Ethereum,,,https://dydx.exchange/,,,,1
Entaxy,Financial Services,-,Gaia,Blockstack,,,,,
ERC dEX,Financial Services,Ethereum,,,,,,,
EtherDelta,Financial Services,Ethereum,,,https://etherdelta.com,YES,,,87
Etherisc,Financial Services,Ethereum,,,https://etherisc.com/,,,,14
EthLend,Financial Services,Ethereum,,,,,,,
Gnosis,Financial Services,Ethereum,,,https://gnosis.pm/,,,,60
Hong Bao,Financial Services,Ethereum,,,,,,,
Paradex,Financial Services,Ethereum,,,,,,,
Prism,Financial Services,-,,,https://prism.exchange,,,,70
Radar Relay,Financial Services,Ethereum,,,https://radarrelay.com/,,,,13
WeTrust,Financial Services,Ethereum,,,,,,,
CryptoEmperors,Games & Digital Assets,Ethereum,,Metamask,http://cryptoemperors.co/,,,,0
